,mispellings,actual word
0,Apennines,Apenines
1,Apennines,Appenines
2,Athenian,Athenean
3,Athenians,Atheneans
4,Bernoulli,Bernouilli
5,Blitzkrieg,Blitzkreig
6,Brazilian,Brasillian
7,Britain,Britian
8,British,Brittish
9,Caesar,Ceasar
10,Cambridge,Cambrige
11,carcass,carcas
12,Caribbean,Carribean
13,Carthaginian,Carthagian
14,Catiline,Cataline
15,Celsius,Celcius
16,Champagne,Champange
17,Connecticut,Conneticut
18,Cypriot,Cyprian
19,Ellis,eles
20,enlist,Enlish
21,European,Europian
22,European,Eurpean
23,European,Eurpoean
24,Europeans,Europians
25,February,febuary
26,Flemish,Flemmish
27,Franciscan,Fransiscan
28,Franciscans,Fransiscans
29,game,gae
30,Galatians,Galations
31,Gandhi,Ghandi
32,going,gogin
33,Guatemala,Guatamala
34,Guatemalan,Guatamalan
35,Guinness,Guiness
36,Israelis,Israelies
37,Ithaca,Ihaca
38,Jacques,Jaques
39,Japanese,Japanes
40,Joseph,Jospeh
41,Judaism,Juadaism
42,Judaism,Juadism
43,Libya,Lybia
44,Malcolm,Malcom
45,Maltese,maltesian
46,liaison,liason
47,Massachusetts,Massachussets
48,Massachusetts,Massachussetts
49,Mediterranean,Mediteranean
50,Michigan,Michagan
51,veranda,meranda
52,Mississippi,Missisipi
53,Mississippi,Missisippi
54,Missouri,Misouri
55,Muslim,Mohammedan
56,Muslim,Muhammadan
57,Muslims,Mohammedans
58,Nazareth,Nazereth
59,New_Yorker,Newyorker
60,Newfoundland,Foundland
61,Nuremberg,Nuremburg
62,original,orginal
63,Palestinian,Palistian
64,Palestinian,Palistinian
65,Philippine,Phillipine
66,Philippines,Philipines
67,Philippines,Phillipines
68,Philippines,Phillippines
69,Portuguese,Portugese
70,Puccini,Pucini
71,Rockefeller,Rockerfeller
72,Russian,Russion
73,Russian,russina
74,Saturday,Saterday
75,Saturdays,Saterdays
76,Sistine,Sixtin
77,Spanish,spainish
78,time,tiem
79,Ukrainian,Ukranian
80,Valletta,Valetta
81,Wednesday,wendsay
82,Wednesday,wensday
83,Zionist,Sionist
84,Zionists,Sionists
85,lot,alot
86,abandon,abondon
87,abandoned,abondoned
88,abandoning,abondoning
89,abandons,abondons
90,aberration,aberation
91,bout,baout
92,bout,boaut
93,absence,absense
94,absorbed,asorbed
95,absorption,absorbsion
96,absorption,absorbtion
97,abuts,abutts
98,acceptable,acceptible
99,accessible,accessable
100,ascension,accension
101,accidentally,accidently
102,acclimatization,acclimitization
103,accommodate,accomadate
104,accommodate,accomodate
105,accommodated,accomadated
106,accommodated,accomodated
107,accommodates,accomadates
108,accommodates,accomodates
109,accommodating,accomadating
110,accommodating,accomodating
111,accommodation,accomadation
112,accommodation,accomodation
113,accommodations,accomodations
114,accompanied,accompanyed
115,accomplish,acomplish
116,accomplished,acomplished
117,accomplishment,acomplishment
118,accomplishments,acomplishments
119,according,acording
120,accuracy,acuracy
121,accused,accussed
122,accustom,acustom
123,accustomed,acustommed
124,achieve,acheive
125,archive,achive
126,achieved,acheived
127,archived,achived
128,achievement,acheivement
129,achievement,acheivment
130,achievement,achievment
