mispellings,actual word
blitzkrieg,blitzkreig
carcass,carcas
champagne,champange
enlist,enlish
game,gae
going,gogin
liaison,liason
veranda,meranda
original,orginal
time,tiem
lot,alot
abandon,abondon
abandoned,abondoned
abandoning,abondoning
abandons,abondons
aberration,aberation
bout,baout
bout,boaut
absence,absense
absorbed,asorbed
absorption,absorbsion
absorption,absorbtion
abuts,abutts
acceptable,acceptible
accessible,accessable
ascension,accension
accidentally,accidently
acclimatization,acclimitization
accommodate,accomadate
accommodate,accomodate
accommodated,accomadated
accommodated,accomodated
accommodates,accomadates
accommodates,accomodates
accommodating,accomadating
accommodating,accomodating
accommodation,accomadation
accommodation,accomodation
accommodations,accomodations
accompanied,accompanyed
accomplish,acomplish
accomplished,acomplished
accomplishment,acomplishment
accomplishments,acomplishments
according,acording
accuracy,acuracy
accused,accussed
accustom,acustom
accustomed,acustommed
achieve,acheive
archive,achive
achieved,acheived
archived,achived
achievement,acheivement
achievement,acheivment
achievement,achievment
achievements,acheivements
achievements,acheivments
achievements,achievments
achieves,acheives
achieving,acheiving
acquaintance,acquaintence
acquaintance,acquiantence
acquaintance,aquaintance
acquaintance,aquiantance
acquaintances,acquaintences
acquaintances,acquiantences
acquainted,aquainted
acquire,adquire
acquire,aquire
acquired,adquired
acquired,aquired
acquires,adquires
acquiring,adquiring
acquiring,aquiring
acquisition,aquisition
acquitted,acquited
acquitted,aquitted
across,accross
actually,actualy
adaptation,adaption
adaptations,adaptions
address,addres
additionally,additinally
address,adres
address,adress
addressable,addresable
addressable,adresable
addressable,adressable
addressing,addresing
addressing,adresing
dressing,adressing
adequate,adecuate
adhering,adhearing
administrate,adminstrate
administration,adminstration
administrative,adminstrative
admissibility,admissability
admissible,admissable
admission,addmission
adolescent,adolecent
adopt,addopt
adopted,addopted
adoptive,addoptive
advertisement,advertisment
advertisements,advertisments
advised,adviced
aerial,aeriel
aerials,aeriels
effort,affort
effort,efford
efforts,effords
aficionado,afficionado
aficionados,afficionados
again,agian
vagina,agina
aggravate,agravate
aggregate,agregate
aggregates,agregates
aggression,agression
aggressive,agressive
aggressively,agressively
aggrieved,agrieved
agree,agre
agreed,agred
agreeing,agreing
agreement,aggreement
agriculturist,agriculturalist
airborne,airbourne
airports,airporta
alcohol,alchohol
alcoholic,alcoholical
algebraic,algebraical
algorithm,algoritm
algorithms,algoritms
allege,alege
allege,alledge
alleged,aleged
alleged,alledged
alleges,alledges
allegiance,alegience
allegiance,allegience
alleviate,alliviate
allophone,allopone
allophones,allopones
allotted,alotted
illusion,alusion
almost,almsot
almost,alomst
already,alreayd
also,alsot
also,aslo
although,altho
although,althought
although,altough
always,alwasy
always,alwyas
armature,amature
amend,ammend
amendment,admendment
amendment,amendmant
amendment,ammendment
among,amoung
annual,anual
analogous,analagous
analogous,analogeous
analytic,analitic
and,anbd
androgynous,androgenous
androgyny,androgeny
annihilation,anihilation
announced,anounced
annulled,annuled
anoint,annoint
anointed,annointed
anointing,annointing
anoints,annoints
anomalies,anomolies
anomalous,anomolous
anomaly,anomoly
anonymity,anonimity
anything,anytying
anywhere,anyhwere
apart,appart
apartment,appartment
apartments,appartments
apologetics,apolegetics
apologies,appologies
apology,appology
appealing,appealling
apparent,aparent
apparent,apparant
appearance,appearence
appearances,appearences
application,aplication
appreciate,apprieciate
approaches,approachs
appropriate,appropiate
approximately,approximitely
approximately,aproximately
upon,apon
arbitrarily,arbitarily
arbitrary,arbitary
archeologist,archeaologist
archeologists,archeaologists
archeology,archaoelogy
archeology,archaology
archetype,archtype
archetypes,archtypes
architect,archetect
architects,archetects
architectural,archetectural
architecturally,archetecturally
architecture,archetecture
arrangement,arangement
erected,erested
article,artical
article,articel
artificial,artifical
artificially,artifically
artillery,artillary
ascetic,asetic
expects,spects
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assemble,assemple
assistant,assitant
associated,asociated
asteroid,asteriod
asymmetric,assymetric
atheistic,atheistical
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attendance,attendence
attendant,attendent
attendants,attendents
attitude,attitide
attribute,atribute
attributes,atributes
audience,audeince
author,autor
autobiographic,authobiographic
autobiography,authobiography
auxiliary,auxilliary
available,avalable
available,avaliable
averaged,averageed
aviation,avation
away,awya
backward,ackward
back,bakc
back,bcak
bandwidth,bandwith
bankruptcy,bankrupcy
barbecue,barbeque
basically,basicaly
basically,basicly
beautiful,beatiful
beautiful,beautyfull
became,becamae
because,beacuse
because,becasue
because,becouse
because,becuase
becoming,becomming
before,befoer
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining
beginning,begining
beginning,beginnig
beginnings,begginings
belief,beleif
believes,belives
believe,beleive
believed,beleived
believes,beleives
believing,beleiving
beneficial,benificial
beneficiary,beneficary
benefit,benifit
benefits,benifits
besiege,beseige
besieged,beseiged
besieging,beseiging
bestiality,beastiality
between,vetween
bilaterally,bilateraly
binomial,binominal
blame,blaim
blamed,blaimed
blessing,blessure
boundary,bondary
boundary,boundry
breakthrough,breakthough
brilliant,briliant
broadly,broady
buffaloes,buffalos
bureaucracy,beaurocracy
during,buring
business,buisness
businesses,busineses
business,busness
caisson,casion
calculate,caluclate
calculate,caluculate
calculate,calulate
calculated,caluclated
calculated,caluculated
calculated,calulated
calendar,calender
calligraphy,caligraphy
campaign,campain
campaigns,campains
cant,cant
candidate,candadate
canister,cannister
canisters,cannisters
canonical,cannonical
capability,caperbility
caring,careing
carnivorous,carniverous
cartilage,cartilege
cartilage,cartilidge
cartographer,carthographer
cartridge,cartrige
cassette,casette
cassowary,cassawory
cassowary,cassowarry
casualties,casulaties
casualties,causalities
casualty,casulaty
categories,catagories
category,catagory
caterpillar,catterpilar
caterpillars,catterpilars
catholic,cathlic
cemeteries,cemetaries
cemetery,cemetarey
cemetery,cemetary
censure,censur
censure,sensure
census,cencus
centuries,centruies
century,centruy
ceremonial,cerimonial
ceremonies,cerimonies
ceremonious,cerimonious
ceremony,cerimony
keratin,ceratin
certainty,certainity
servile,cervial
chairman,chariman
character,carachter
character,charachter
characteristics,charistics
characterized,charaterized
characters,charachters
charismatic,carismatic
chaser,chasr
sheet,sheat
chemical,chemcial
chemically,chemcially
chemically,chemicaly
chemistry,chemestry
chief,cheif
childbirth,childbird
children's,childrens
chosen,choosen
church,curch
circuit,ciricuit
civilian,civillian
claims,claimes
clear,claer
sclera,clera
clearance,cleareance
clearer,claerer
clearly,claerly
clinical,clincial
clinically,clinicaly
could,coudl
coast,caost
collateral,colateral
colleague,collegue
colleagues,collegues
collectible,collectable
colonies,collonies
colonnade,collonade
colony,collony
coloration,colouration
colossal,collosal
comeback,comback
coming,comming
commander,comander
commando,comando
commandos,comandos
commandos,commandoes
commemorated,commmemorated
commemorative,commemerative
commercial,commericial
commercially,commericially
commission,comision
commission,comission
commission,commision
commissioned,comisioned
commissioned,comissioned
commissioned,commisioned
commissioner,comisioner
commissioner,comissioner
commissioner,commisioner
commissioning,comisioning
commissioning,comissioning
commissioning,commisioning
commissions,comisions
commissions,comissions
commissions,commisions
committed,comited
committed,comitted
